income,Daily_price,Size,Area
338,80,1.5,Manhattan
670,76,1.5,Brooklyn
585,75,1.5,Brooklyn
806,75,1.5,Brooklyn
2625,125,1.5,Manhattan
2728,387,1.5,Manhattan
1057,95,1.5,Manhattan
532,99,1.5,Manhattan
265,121,1.5,Manhattan
893,75,1.5,Manhattan
1690,95,1.5,Manhattan
176,195,1.5,Manhattan
3360,160,1.5,Manhattan
504,70,1.5,Brooklyn
102,100,1.5,Manhattan
863,135,1.5,Manhattan
3969,189,1.5,Manhattan
3360,160,1.5,Brooklyn
256,178,1.5,Brooklyn
974,145,1.5,Brooklyn
113,125,1.5,Brooklyn
3220,265,1.5,Manhattan
118,77,1.5,Brooklyn
2643,129,1.5,Manhattan
1170,199,1.5,Manhattan
604,92,1.5,Brooklyn
349,68,1.5,Brooklyn
828,115,1.5,Manhattan
239,133,1.5,Queens
99,97,1.5,Manhattan
706,80,1.5,Brooklyn
276,80,1.5,Manhattan
34,125,1.5,Brooklyn
108,120,1.5,Brooklyn
1974,94,1.5,Brooklyn
538,56,1.5,Brooklyn
5830,549,1.5,Manhattan
217,190,1.5,Brooklyn
1264,139,1.5,Brooklyn
1890,90,1.5,Brooklyn
256,20,1.5,Staten Island
426,145,1.5,Manhattan
567,225,1.5,Manhattan
210,50,1.5,Brooklyn
245,160,1.5,Manhattan
367,180,1.5,Manhattan
357,100,1.5,Manhattan
19,70,1.5,Brooklyn
2074,120,1.5,Bronx
117,150,1.5,Manhattan
224,97,1.5,Staten Island
1714,120,1.5,Manhattan
3908,250,1.5,Manhattan
1868,187,1.5,Manhattan
671,99,1.5,Manhattan
3045,145,1.5,Manhattan
1680,80,1.5,Brooklyn
11,90,1.5,Brooklyn
614,75,1.5,Queens
2991,159,1.5,Brooklyn
945,45,1.5,Brooklyn
2050,104,1.5,Manhattan
925,225,1.5,Manhattan
831,100,1.5,Manhattan
46,90,1.5,Brooklyn
164,75,1.5,Queens
7350,350,1.5,Manhattan
778,135,1.5,Manhattan
416,125,1.5,Manhattan
2795,225,1.5,Manhattan
77,85,1.5,Manhattan
870,200,1.5,Manhattan
1245,250,1.5,Brooklyn
2112,275,1.5,Manhattan
1423,90,1.5,Manhattan
2730,130,1.5,Brooklyn
1050,50,1.5,Bronx
918,300,1.5,Manhattan
1406,125,1.5,Manhattan
322,147,1.5,Manhattan
270,300,1.5,Manhattan
2583,123,1.5,Brooklyn
1848,88,1.5,Brooklyn
3470,215,1.5,Queens
4523,225,1.5,Manhattan
1161,75,1.5,Brooklyn
3045,145,1.5,Manhattan
3256,229,1.5,Brooklyn
4176,300,1.5,Brooklyn
933,100,1.5,Manhattan
97,75,1.5,Brooklyn
997,120,1.5,Brooklyn
3294,180,1.5,Brooklyn
2625,125,1.5,Brooklyn
123,95,1.5,Brooklyn
2224,119,1.5,Brooklyn
842,275,1.5,Manhattan
100,175,1.5,Manhattan
639,100,1.5,Brooklyn
3360,160,1.5,Brooklyn
523,102,1.5,Manhattan
1890,90,1.5,Brooklyn
558,200,1.5,Manhattan
1373,199,1.5,Manhattan
