income,review_scores,Size,Area
164,91,1.5,Queens
7350,,1.5,Manhattan
778,95,1.5,Manhattan
416,94,1.5,Manhattan
2795,94,1.5,Manhattan
77,93,1.5,Manhattan
870,88,1.5,Manhattan
1245,99,1.5,Brooklyn
2112,90,1.5,Manhattan
1423,98,1.5,Manhattan
2730,93,1.5,Brooklyn
1050,87,1.5,Bronx
918,98,1.5,Manhattan
1406,96,1.5,Manhattan
322,100,1.5,Manhattan
270,100,1.5,Manhattan
2583,92,1.5,Brooklyn
1848,94,1.5,Brooklyn
3470,99,1.5,Queens
4523,96,1.5,Manhattan
1161,90,1.5,Brooklyn
3045,,1.5,Manhattan
3256,95,1.5,Brooklyn
4176,100,1.5,Brooklyn
933,93,1.5,Manhattan
97,97,1.5,Brooklyn
997,98,1.5,Brooklyn
3294,94,1.5,Brooklyn
2625,98,1.5,Brooklyn
123,94,1.5,Brooklyn
2224,98,1.5,Brooklyn
842,97,1.5,Manhattan
100,100,1.5,Manhattan
639,94,1.5,Brooklyn
3360,92,1.5,Brooklyn
523,97,1.5,Manhattan
1890,92,1.5,Brooklyn
558,100,1.5,Manhattan
1373,97,1.5,Manhattan
5250,89,1.5,Brooklyn
945,90,1.5,Brooklyn
923,95,1.5,Queens
