Bookings,Daily_price,Size,Area
1.2,300,1.5,Brooklyn
2.1,140,1.5,Brooklyn
1.34,120,1.5,Brooklyn
2.48,275,1.5,Brooklyn
1.22,109,1.5,Manhattan
0.34,179,1.5,Manhattan
0.36,189,1.5,Brooklyn
2.74,219,1.5,Manhattan
3.16,450,1.5,Manhattan
0.2,249,1.5,Manhattan
0.1,65,1.5,Queens
1.16,250,1.5,Brooklyn
0.84,139,1.5,Manhattan
0.88,120,1.5,Brooklyn
0.04,70,1.5,Queens
4.88,90,1.5,Manhattan
0.2,199,1.5,Manhattan
0.36,50,1.5,Brooklyn
,100,1.5,Brooklyn
,110,1.5,Manhattan
1.24,157,1.5,Brooklyn
0.94,199,1.5,Brooklyn
0.14,192,1.5,Queens
1.72,199,1.5,Brooklyn
2.18,150,1.5,Manhattan
1.86,199,1.5,Brooklyn
2.32,199,1.5,Brooklyn
0.56,199,1.5,Brooklyn
0.3,105,1.5,Brooklyn
2.2,135,1.5,Brooklyn
1.18,199,1.5,Brooklyn
0.34,125,1.5,Brooklyn
0.02,60,1.5,Brooklyn
1.08,300,1.5,Manhattan
1.62,55,1.5,Queens
0.14,44,1.5,Brooklyn
0.46,55,1.5,Brooklyn
0.52,30,1.5,Brooklyn
1.04,299,1.5,Brooklyn
0.1,35,1.5,Brooklyn
3.18,55,1.5,Brooklyn
,75,1.5,Brooklyn
,190,1.5,Manhattan
3.22,250,1.5,Manhattan
3.04,95,1.5,Brooklyn
1.18,140,1.5,Manhattan
1.38,50,1.5,Brooklyn
3.38,75,1.5,Brooklyn
1.82,60,1.5,Manhattan
0.26,150,1.5,Manhattan
3.82,250,1.5,Manhattan
5.52,205,1.5,Brooklyn
0.34,135,1.5,Brooklyn
2.7,65,1.5,Brooklyn
1.04,59,1.5,Staten Island
0.74,75,1.5,Manhattan
0.38,85,1.5,Brooklyn
0.42,109,1.5,Manhattan
2.26,55,1.5,Queens
1.66,100,1.5,Brooklyn
0.66,105,1.5,Manhattan
